Date,GOOGL,FB,NFLX,AMZN,BBBY,COST,DLTR,FOX,Gold,PEP
2015-07-30,664.559998,95.209999,111.559998,536.76001,63.050125,135.37085,77.589996,31.882381,56.555443,89.323654
2015-07-31,657.5,94.010002,114.309998,536.150024,63.050125,135.37085,78.029999,32.325996,57.849064,89.064819
2015-08-03,664.719971,94.139999,112.559998,535.030029,62.218861,135.575821,77.660004,32.181339,55.980492,90.081642
2015-08-04,661.280029,94.059998,121.150002,531.900024,62.286522,134.942261,77.800003,32.21027,56.172146,90.414436
2015-08-05,673.289978,96.440002,123.709999,537.01001,61.919224,136.852203,78.580002,30.05006,56.641678,91.690094
2015-08-06,670.150024,95.120003,126.449997,529.460022,61.078293,136.432953,77.599998,28.024862,57.542427,91.653114
2015-08-07,664.390015,94.300003,123.519997,522.619995,61.18462,135.333603,77.260002,29.297842,57.74366,91.606888
2015-08-10,663.140015,94.150002,123.029999,524,61.861225,136.255966,78.110001,29.066391,59.315182,91.597641
2015-08-11,690.299988,93.620003,122.739998,527.460022,61.706573,135.920563,77.690002,28.670998,59.650558,91.163193
2015-08-12,691.469971,94.190002,120.510002,525.909973,61.774231,136.854782,77.32,28.429901,62.525284,90.941338
2015-08-13,686.51001,93.43,123.730003,529.659973,61.542252,135.715042,77.330002,28.584202,59.363087,91.320343
2015-08-14,689.369995,94.419998,123.389999,531.52002,61.194286,136.481079,77.779999,28.844585,59.430168,91.727074
2015-08-17,694.109985,93.93,125.360001,535.219971,61.155621,136.481079,78.480003,29.076036,60.244671,92.309418
2015-08-18,688.72998,95.169998,124.050003,535.02002,61.3876,136.051331,79.370003,28.979597,59.803879,92.226234
2015-08-19,694.039978,95.309998,122.059998,532.919983,61.406929,135.621567,80.919998,28.748144,60.551308,91.505211
2015-08-20,679.47998,90.559998,112.489998,515.780029,60.681992,134.257614,80.379997,27.658398,63.876415,90.571579
2015-08-21,644.030029,86.059998,103.959999,494.470001,59.802402,129.848068,76.349998,26.925468,63.004414,88.972397
2015-08-24,618.109985,82.089996,96.879997,463.369995,57.927242,124.224037,73.709999,25.893581,59.842209,84.886597
2015-08-25,612.469971,83,101.519997,466.369995,58.062557,123.98114,73.160004,25.941803,59.2481,82.862198
2015-08-26,659.73999,87.190002,110.129997,500.769989,59.164455,129.072647,77.339996,26.510786,56.296715,85.496681
2015-08-27,667.960022,89.730003,117.660004,518.369995,60.411354,130.987823,76.790001,26.935114,58.194031,86.522758
2015-08-28,659.690002,91.010002,117.629997,518.01001,60.237362,130.744934,76.730003,27.079771,58.682739,86.458046
2015-08-31,647.820007,89.43,115.029999,512.890015,60.034389,130.838348,76.260002,26.674732,57.772408,85.903404
2015-09-01,629.559998,87.230003,105.790001,496.540009,58.82616,129.20343,69.650002,25.816437,56.833328,84.424393
2015-09-02,644.909973,89.889999,105.440002,510.549988,59.928066,131.184006,67.589996,26.202185,56.718338,85.367592
2015-09-03,637.049988,88.150002,101.059998,504.720001,60.218033,131.240051,67,26.221474,56.114651,85.824051
2015-09-04,628.960022,88.260002,98.790001,499,60.015053,129.371628,68.089996,26.105106,54.763531,84.696869
2015-09-08,643.880005,89.529999,94.949997,517.539978,61.213612,132.127579,68.790001,26.793613,54.591049,86.04763
2015-09-09,643.409973,90.440002,99.18,516.890015,60.52734,130.492676,67.940002,26.172987,53.939442,84.613045
2015-09-10,651.080017,91.980003,99.480003,522.23999,60.082714,130.800949,66.059998,26.20208,54.131092,84.827286
2015-09-11,655.299988,92.050003,97.510002,529.440002,59.444767,131.772568,66.459999,26.085711,55.424713,85.348976
2015-09-14,652.469971,92.309998,95.690002,521.380005,59.096798,131.865982,65.339996,25.862671,53.201595,84.95771
2015-09-15,665.070007,92.900002,99.160004,522.369995,59.773407,133.061813,66.239998,26.066313,53.230343,85.758842
2015-09-16,665.52002,93.449997,104.080002,527.390015,60.063381,134.1642,67.709999,26.250563,56.277554,86.699715
2015-09-17,671.669983,94.339996,104.209999,538.869995,59.812069,133.92131,67.830002,26.231169,56.804581,86.979164
2015-09-18,660.919983,94.400002,102.620003,540.26001,57.965904,132.482574,66.650002,25.629938,57.916142,86.681091
2015-09-21,666.97998,95.550003,100.300003,548.390015,58.468525,133.790543,67.849998,25.794792,56.373379,87.295906
2015-09-22,653.200012,92.959999,98.470001,538.400024,58.062557,133.267349,69.18,25.775396,54.514385,86.04763
2015-09-23,653.289978,93.970001,98.07,536.070007,57.84024,135.864456,69.889999,25.717213,54.380234,86.075569
2015-09-24,654.909973,94.410004,103.760002,533.75,57.34729,135.341309,69.25,25.426294,58.261108,86.140785
2015-09-25,640.150024,92.769997,102.239998,524.25,57.79192,135.976593,70.110001,25.19356,57.101639,87.072334
2015-09-28,624.25,89.209999,99.470001,504.059998,55.240139,134.108154,68.699997,24.640812,55.386387,86.140785
2015-09-29,622.609985,86.669998,98.349998,496.070007,54.631195,134.266953,66.239998,25.096588,55.309727,86.671761
2015-09-30,638.369995,89.900002,103.260002,511.890015,55.114483,135.061066,66.660004,26.250563,56.622517,87.84552
2015-10-01,642,90.949997,105.980003,520.719971,55.684765,135.051727,67.440002,26.65785,56.277554,87.426308
2015-10-02,656.98999,92.07,106.110001,532.539978,55.472122,136.266205,66.949997,27.443329,60.704624,87.715111
2015-10-05,671.679993,94.010002,111.25,543.679993,57.414955,138.330856,68.120003,27.831224,61.241241,89.252174
2015-10-06,671.640015,92.800003,108.330002,537.47998,57.704922,138.648483,65.190002,27.588791,62.036587,90.425926
2015-10-07,670,92.400002,108.099998,541.940002,56.970318,138.228104,62.900002,27.646973,62.879841,91.77668
2015-10-08,667,92.470001,114.93,533.159973,57.240967,141.684708,62.080002,28.025167,62.812767,92.195892
2015-10-09,671.23999,93.239998,113.330002,539.799988,57.008987,143.842773,63.360001,28.025167,65.026306,92.661659
2015-10-12,676.429993,94.260002,113.449997,550.190002,56.941326,143.525146,63.049999,27.966984,63.943489,92.35424
2015-10-13,683.169983,94.120003,109.730003,548.900024,56.139061,142.263931,63.459999,28.083349,63.953068,91.217751
2015-10-14,680.409973,94.07,110.230003,544.830017,55.433456,139.984421,61.380001,27.860313,67.038605,90.817177
2015-10-15,693.02002,95.959999,101.089996,562.440002,55.974743,141.787491,62.799999,28.548822,66.837372,91.553108
2015-10-16,695.320007,97.540001,98.989998,570.76001,56.342041,142.05838,63.459999,28.762161,66.396584,92.875908
2015-10-19,699.950012,98.470001,101.690002,573.150024,56.690014,143.142105,63.830002,28.771862,65.380852,93.323067
2015-10-20,680,97,98.989998,560.880005,56.506359,144.393967,64.120003,28.927017,67.297333,93.406898
2015-10-21,671.799988,97.110001,97.959999,555.77002,55.791092,145.001221,64.279999,28.645798,66.252846,93.38826
2015-10-22,681.140015,99.669998,97.32,563.909973,56.72868,147.747833,64.800003,29.179146,66.339088,96.024574
2015-10-23,719.330017,102.190002,100.040001,599.030029,57.2313,145.496368,62.529999,29.499155,68.217247,95.419052
