Date,GOOGL,FB,NFLX,AMZN
2016-10-31,809.900024,130.990005,124.870003,789.820007
2016-11-01,805.47998,129.5,123.300003,785.409973
2016-11-02,788.419983,127.169998,122.339996,765.559998
2016-11-03,782.190002,120,122.139999,767.030029
2016-11-04,781.099976,120.75,122.029999,755.049988
2016-11-07,802.030029,122.150002,124.580002,784.929993
2016-11-08,811.97998,124.220001,124.339996,787.75
2016-11-09,805.590027,123.18,122.190002,771.880005
2016-11-10,780.289978,120.800003,115.419998,742.380005
2016-11-11,771.75,119.019997,114.779999,739.01001
2016-11-14,753.219971,115.080002,113.379997,719.070007
2016-11-15,775.159973,117.199997,113.589996,743.23999
2016-11-16,779.97998,116.339996,115.190002,746.48999
2016-11-17,786.159973,117.790001,115.029999,756.400024
2016-11-18,775.969971,117.019997,115.209999,760.159973
2016-11-21,784.799988,121.769997,117.959999,780
2016-11-22,785,121.470001,118.040001,785.330017
2016-11-23,779,120.839996,117.690002,780.119995
2016-11-25,780.22998,120.379997,117.410004,780.369995
2016-11-28,785.789978,120.410004,116.93,766.77002
2016-11-29,789.440002,120.870003,117.510002,762.52002
2016-11-30,775.880005,118.419998,117,750.570007
2016-12-01,764.330017,115.099998,117.220001,743.650024
2016-12-02,764.460022,115.400002,120.809998,740.340027
2016-12-05,778.219971,117.43,119.160004,759.359985
2016-12-06,776.179993,117.309998,124.57,764.719971
2016-12-07,791.469971,117.949997,125.389999,770.419983
2016-12-08,795.169983,118.910004,123.239998,767.330017
2016-12-09,809.450012,119.68,122.879997,768.659973
2016-12-12,807.900024,117.769997,122.830002,760.119995
2016-12-13,815.340027,120.309998,123.779999,774.340027
2016-12-14,817.890015,120.209999,123.440002,768.820007
2016-12-15,815.650024,120.57,125,761
2016-12-16,809.840027,119.870003,124.220001,757.77002
2016-12-19,812.5,119.239998,125.449997,766
2016-12-20,815.200012,119.089996,125.120003,771.219971
2016-12-21,812.200012,119.040001,126.5,770.599976
2016-12-22,809.679993,117.400002,125.580002,766.340027
2016-12-23,807.799988,117.269997,125.589996,760.590027
2016-12-27,809.929993,118.010002,128.350006,771.400024
2016-12-28,804.570007,116.919998,125.889999,772.130005
2016-12-29,802.880005,116.349998,125.330002,765.150024
2016-12-30,792.450012,115.050003,123.800003,749.869995
2017-01-03,808.01001,116.860001,127.489998,753.669983
2017-01-04,807.77002,118.690002,129.410004,757.179993
2017-01-05,813.02002,120.669998,131.809998,780.450012
2017-01-06,825.210022,123.410004,131.070007,795.98999
2017-01-09,827.179993,124.900002,130.949997,796.919983
2017-01-10,826.01001,124.349998,129.889999,795.900024
2017-01-11,829.859985,126.089996,130.5,799.02002
2017-01-12,829.530029,126.620003,129.179993,813.640015
2017-01-13,830.940002,128.339996,133.699997,817.140015
2017-01-17,827.460022,127.870003,132.889999,809.719971
2017-01-18,829.02002,127.919998,133.259995,807.47998
2017-01-19,824.369995,127.550003,138.410004,809.039978
2017-01-20,828.169983,127.040001,138.600006,808.330017
2017-01-23,844.429993,128.929993,137.389999,817.880005
2017-01-24,849.530029,129.369995,140.110001,822.440002
2017-01-25,858.450012,131.479996,139.520004,836.52002
2017-01-26,856.97998,132.779999,138.960007,839.150024
2017-01-27,845.030029,132.179993,142.449997,835.77002
2017-01-30,823.830017,130.979996,141.220001,830.380005
2017-01-31,820.190002,130.320007,140.710007,823.47998
2017-02-01,815.23999,133.229996,140.779999,832.349976
2017-02-02,818.26001,130.839996,139.199997,839.950012
2017-02-03,820.130005,130.979996,140.25,810.200012
2017-02-06,821.619995,132.059998,140.970001,807.640015
2017-02-07,829.22998,131.839996,144,812.5
2017-02-08,829.880005,134.199997,144.740005,819.710022
2017-02-09,830.059998,134.139999,144.139999,821.359985
2017-02-10,834.849976,134.190002,144.820007,827.460022
2017-02-13,838.960022,134.050003,143.199997,836.530029
2017-02-14,840.030029,133.850006,140.820007,836.390015
2017-02-15,837.320007,133.440002,142.270004,842.700012
2017-02-16,842.169983,133.839996,142.009995,844.140015
2017-02-17,846.549988,133.529999,142.220001,845.070007
2017-02-21,849.27002,133.720001,142.600006,856.440002
2017-02-22,851.359985,136.119995,143.860001,855.609985
2017-02-23,851,135.360001,142.779999,852.190002
2017-02-24,847.809998,135.440002,143.25,845.23999
2017-02-27,849.669983,136.410004,143.410004,848.640015
2017-02-28,844.929993,135.539993,142.130005,845.039978
2017-03-01,856.75,137.419998,142.649994,853.080017
2017-03-02,849.849976,136.759995,139.529999,848.909973
2017-03-03,849.080017,137.169998,139.139999,849.880005
2017-03-06,847.27002,137.419998,141.940002,846.609985
2017-03-07,851.150024,137.300003,141.429993,846.02002
